Date,Task,Start Time,End Time,Breaks,Completed,Tasks Completed,Distractions,Day Type
2023-05-25,Coding Practice,09:00,10:30,2,Yes,2,0,WE
2023-05-26,Academics,11:00,13:00,3,Yes,3,2,W
2023-05-26,Lab Assignments,14:00,15:30,1,Yes,2,1,W
2023-05-27,Projects,10:00,11:30,2,Yes,2,1,WE
2023-05-27,Coding Practice,12:30,14:00,2,Yes,2,2,WE
2023-05-28,GitHub Contributions,08:00,09:30,1,Yes,3,0,W
2023-05-28,Coding Practice,10:00,11:30,2,Yes,3,1,W
2023-05-28,Lab Assignments,12:00,13:30,3,Yes,3,2,W
2023-05-29,Academics,09:00,10:00,1,Yes,1,1,W
2023-05-29,Projects,10:30,12:00,2,Yes,2,0,W
2023-05-29,Coding Practice,14:00,16:00,4,Yes,4,3,W
2023-05-29,GitHub Contributions,08:30,09:30,1,Yes,1,1,W
2023-05-30,Projects,10:00,12:00,3,Yes,2,2,WE
2023-05-30,Lab Assignments,13:00,14:30,2,Yes,3,1,WE
2023-05-30,Academics,09:00,11:00,3,Yes,2,0,WE
2023-05-30,Projects,12:00,13:30,2,Yes,2,2,WE
2023-05-30,GitHub Contributions,14:00,15:00,1,Yes,1,1,WE
2023-05-30,Coding Practice,09:00,10:30,2,Yes,2,0,WE
2023-05-31,Academics,11:00,13:00,3,Yes,3,2,W
2023-05-31,Lab Assignments,14:00,15:30,1,Yes,2,1,W
